;;;;;;;
;2022;2023;2024;2025;Turnus;Bemerkung;
Festzins;900,00 €;182,79 €;189,09 €;189,09 €;monatlich;;
Flexzins;612,40 €;800,00 €;800,00 €;800,00 €;monatlich;;
Hausversicherung;86,00 €;86,00 €;103,56;99,74;halbjährlich;;
Nebengebäudeversicherung;43,03 €;43,03 €;96,00 €;48,04;jährlich;;
Steuer;56,45 €;56,45 €;56,54 €;56,54 €;monatlich;;
Internet / TV;59,82 €;59,82 €;69,00 €;69,00 €;monatlich;;
Strom / Wasser;196,00 €;196,00 €;182,00 €;182,00 €;monatlich;;
Heizung;125,00 €;125,00 €;125,00 €;125,00 €;Nach Einkauf Pellets (ca. jährlich);;
Rechtsschutz (Verkehr);11,51 €;11,51 €;12,20 €;12,20 €;monatlich;;
Hausrat / Glas / Haftpflicht;46,58 €;46,58 €;58,40 €;58,40 €;halbjährlich;;
Kaminkehrer;7,50 €;7,50 €;7,50 €;7,50 €;Ca. 3 mal im Jahr;;
Zuzahlung Oma;-100,00 €;-100,00 €;-100,00 €;-100,00 €;monatlich;;
Abwassertechnik;5,45 €;5,45 €;5,45;5,45;jährlich;;
Rücklagen;6,00 €;6,00 €;6;6;monatlich;;
Auto;;;;330;;;
Essen;400;440;440;460;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;ALLE KOSTEN SIND ZWECKS ÜBERSICHT AUF MONATLICHE SUMMEN RUNTERGEBROCHEN!;;
